Gender,Age  group  (years),Population  estimate  ('000),Current  smokers  (%),Daily  smokers  (%),Occasional  smokers  (%),Former  smokers  (%),Never  smokers  (%),Table_ID,Canada  (%),NL  (%),PE  (%),NS  (%),NB  (%),QC  (%),ON  (%),MB  (%),SK  (%),AB  (%),BC  (%),Age group (years),Population estimate ('000),Zero (%),One time (%),Two to three times (%),Four or more times (%),Switched to vaping  (%),Used nicotine replacement products  (%),Made deal with a friend/family member  (%),Reduced number of cigarettes you smoked  (%),Used a 1-800 quitline or a smokers helpline  (%),Used an internet-based program  (%),Used a smart phone app  (%),Tried to quit smoking on your own  (%),Unnamed: 9,Unnamed: 10,Unnamed: 11,Age group  (years),Any tobacco productFootnote 2  (%),Cigarettes  (%),Cigars  (%),Little cigars or cigarillos  (%),Pipe  (%),Chewing tobacco  (%),Water-pipe w/ tobacco  (%),Vaping  (%),Daily (%),Less than daily but at least once a week (%),Less than weekly but at least once in past month (%),Not at all (%),Vaped e-liquid with nicotine  (%),Vaped e-liquid without nicotine  (%),Vaped e-liquid with unknown nicotine content  (%),Tobacco  (%),Fruit  (%),Candy  (%),Dessert  (%),Mint or Menthol  (%),Flavourless  (%),No usual flavour  (%),Other  (%),Curiosity  (%),Because I enjoy it  (%),To reduce stress  (%),Smoking cessationFootnote 2  (%),To use where smoking is not allowed  (%),To avoid returning to smoking  (%),Social sourcesFootnote 2  (%),Retail sourcesFootnote 3  (%),Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Vaping status,Unnamed: 0,Much less harmful than cigarettes (%),Somewhat less harmful than cigarettes (%),About the same as cigarettes (%),Somewhat more harmful than cigarettes (%),Much more harmful than cigarettes (%),Don't know (%),Daily  (%),Less than daily but at least once a week  (%),Less than weekly but at least once in past month  (%),Not at all  (%),Canada,NL,PE,NS,NB,QC,ON,MB,SK,AB,BC
Men,25+,12880,13.2  [11.6-14.9],9.6  [8.1-11.0],3.6  [2.7-4.6],30.0  [28.1-31.9],56.8  [54.6-59.1],Table_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Men,25-44,4956,13.7  [10.5-16.9],7.8  [5.3-10.4],5.9Footnote *  [3.7-8.1],16.9  [13.8-19.9],69.4  [65.3-73.5],Table_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Men,45+,7924,12.9  [11.0-14.7],10.7  [8.9-12.4],2.2  [1.5-2.9],38.1  [35.7-40.6],49.0  [46.4-51.6],Table_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Women,15-19,1367,Footnote #,Footnote #,Footnote #,Footnote #,95.0  [93.1-96.9],Table_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Women,20-24,853,10.6  [7.3-13.8],Footnote #,Footnote #,Footnote #,88.0  [84.5-91.4],Table_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Women,25+,13447,11.8  [10.5-13.2],9.4  [8.2-10.6],2.4  [1.8-3.1],26.6  [24.8-28.3],61.6  [59.6-63.6],Table_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Women,25-44,5029,12.8  [10.2-15.4],9.4  [7.1-11.7],3.4Footnote *  [2.1-4.8],17.3  [14.5-20.0],69.9  [66.6-73.3],Table_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Women,45+,8419,11.3  [9.8-12.7],9.4  [8.1-10.8],1.8Footnote *  [1.2-2.4],32.2  [29.9-34.4],56.6  [54.1-59.0],Table_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[95% confidence intervals in brackets]  Table 1 Note 1  Daily smokers only.  Return to table 1 note 1 referrer  Table 1 Note *  Moderate sampling variability, interpret with caution.  Return to table 1 note * referrer  Table 1 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 1 note # referrer  Table 1 Note ↑  Rounds up to whole number.  Return to table 1 note ↑ referrer  Table 1 Note↓  Rounds down to whole number. Return to table 1 note ↓ referrer  Source: Canadian Tobacco and Nicotine Survey, 2019.","[95% confidence intervals in brackets]  Table 1 Note 1  Daily smokers only.  Return to table 1 note 1 referrer  Table 1 Note *  Moderate sampling variability, interpret with caution.  Return to table 1 note * referrer  Table 1 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 1 note # referrer  Table 1 Note ↑  Rounds up to whole number.  Return to table 1 note ↑ referrer  Table 1 Note↓  Rounds down to whole number. Return to table 1 note ↓ referrer  Source: Canadian Tobacco and Nicotine Survey, 2019.","[95% confidence intervals in brackets]  Table 1 Note 1  Daily smokers only.  Return to table 1 note 1 referrer  Table 1 Note *  Moderate sampling variability, interpret with caution.  Return to table 1 note * referrer  Table 1 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 1 note # referrer  Table 1 Note ↑  Rounds up to whole number.  Return to table 1 note ↑ referrer  Table 1 Note↓  Rounds down to whole number. Return to table 1 note ↓ referrer  Source: Canadian Tobacco and Nicotine Survey, 2019.","[95% confidence intervals in brackets]  Table 1 Note 1  Daily smokers only.  Return to table 1 note 1 referrer  Table 1 Note *  Moderate sampling variability, interpret with caution.  Return to table 1 note * referrer  Table 1 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 1 note # referrer  Table 1 Note ↑  Rounds up to whole number.  Return to table 1 note ↑ referrer  Table 1 Note↓  Rounds down to whole number. Return to table 1 note ↓ referrer  Source: Canadian Tobacco and Nicotine Survey, 2019.","[95% confidence intervals in brackets]  Table 1 Note 1  Daily smokers only.  Return to table 1 note 1 referrer  Table 1 Note *  Moderate sampling variability, interpret with caution.  Return to table 1 note * referrer  Table 1 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 1 note # referrer  Table 1 Note ↑  Rounds up to whole number.  Return to table 1 note ↑ referrer  Table 1 Note↓  Rounds down to whole number. Return to table 1 note ↓ referrer  Source: Canadian Tobacco and Nicotine Survey, 2019.","[95% confidence intervals in brackets]  Table 1 Note 1  Daily smokers only.  Return to table 1 note 1 referrer  Table 1 Note *  Moderate sampling variability, interpret with caution.  Return to table 1 note * referrer  Table 1 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 1 note # referrer  Table 1 Note ↑  Rounds up to whole number.  Return to table 1 note ↑ referrer  Table 1 Note↓  Rounds down to whole number. Return to table 1 note ↓ referrer  Source: Canadian Tobacco and Nicotine Survey, 2019.","[95% confidence intervals in brackets]  Table 1 Note 1  Daily smokers only.  Return to table 1 note 1 referrer  Table 1 Note *  Moderate sampling variability, interpret with caution.  Return to table 1 note * referrer  Table 1 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 1 note # referrer  Table 1 Note ↑  Rounds up to whole number.  Return to table 1 note ↑ referrer  Table 1 Note↓  Rounds down to whole number. Return to table 1 note ↓ referrer  Source: Canadian Tobacco and Nicotine Survey, 2019.","[95% confidence intervals in brackets]  Table 1 Note 1  Daily smokers only.  Return to table 1 note 1 referrer  Table 1 Note *  Moderate sampling variability, interpret with caution.  Return to table 1 note * referrer  Table 1 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 1 note # referrer  Table 1 Note ↑  Rounds up to whole number.  Return to table 1 note ↑ referrer  Table 1 Note↓  Rounds down to whole number. Return to table 1 note ↓ referrer  Source: Canadian Tobacco and Nicotine Survey, 2019.",Table_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Current smokers,,,,,,,Table_2,Current smokers,Current smokers,Current smokers,Current smokers,Current smokers,Current smokers,Current smokers,Current smokers,Current smokers,Current smokers,Current smokers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,,,,,,Table_2,11.9  [10.9-12.8],14.5Footnote ↑  [10.0-19.0],13.8Footnote *  [9.1-18.4],15.3  [11.0-19.7],16.7  [11.5-21.8],12.5Footnote ↓  [10.6-14.3],11.6  [9.9-13.3],14.5Footnote ↑  [10.4-18.6],15.7  [11.7-19.7],9.7  [7.6-11.9],10.2  [8.0-12.4],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15-19,,,,,,,Table_2,5.1  [3.7-6.5],Footnote #,Footnote #,Footnote #,Footnote #,Footnote #,Footnote #,Footnote #,Footnote #,Footnote #,Footnote #,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20-24,,,,,,,Table_2,13.3  [10.8-15.8],Footnote #,Footnote #,Footnote #,Footnote #,Footnote #,13.7  [9.4-17.9],Footnote #,Footnote #,Footnote #,Footnote #,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,25+,,,,,,,Table_2,12.5Footnote ↑  [11.4-13.6],14.7Footnote *  [9.6-19.7],14.8Footnote *  [9.4-20.1],15.7  [10.8-20.6],17.5Footnote ↓Footnote *  [11.5-23.5],12.9  [10.8-15.0],12.5Footnote ↓  [10.5-14.4],15.5Footnote ↓  [10.7-20.3],15.3  [10.8-19.8],10.5Footnote ↑  [8.1-13.0],10.6  [8.1-13.1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,25-44,,,,,,,Table_2,13.3  [11.2-15.3],Footnote #,Footnote #,Footnote #,Footnote #,14.0  [9.6-18.3],13.7  [10.0-17.4],Footnote #,Footnote #,10.4Footnote *  [6.4-14.4],Footnote #,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,45+,,,,,,,Table_2,12.0  [10.9-13.2],15.7Footnote *  [9.8-21.7],Footnote #,16.0Footnote *  [10.3-21.6],Footnote #,12.3  [10.1-14.5],11.7  [9.5-13.8],15.6Footnote *  [10.2-21.1],9.9Footnote *  [6.0-13.9],10.6  [7.6-13.6],11.4  [8.6-14.3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Former smokers,,,,,,,Table_2,Former smokers,Former smokers,Former smokers,Former smokers,Former smokers,Former smokers,Former smokers,Former smokers,Former smokers,Former smokers,Former smokers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,,,,,,Table_2,24.5Footnote ↓  [23.4-25.6],29.0  [23.1-34.9],29.9  [23.2-36.6],26.0  [20.6-31.4],30.9  [24.6-37.2],29.5Footnote ↓  [27.0-32.0],21.6  [19.8-23.5],25.5Footnote ↑  [20.5-30.5],23.8  [19.0-28.5],22.2  [18.9-25.5],24.2  [21.3-27.1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15-19,,,,,,,Table_2,Footnote #,Footnote #,Footnote #,Footnote #,Footnote #,Footnote #,Footnote #,Footnote #,Footnote #,Footnote #,Footnote #,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20-24,,,,,,,Table_2,5.2  [3.6-6.8],Footnote #,Footnote #,Footnote #,Footnote #,Footnote #,Footnote #,Footnote #,Footnote #,Footnote #,Footnote #,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,25+,,,,,,,Table_2,28.2  [27.0-29.5],32.2  [25.5-39.0],34.0  [26.3-41.8],30.0  [23.7-36.3],35.4  [28.2-42.7],33.5Footnote ↑  [30.6-36.4],25.4  [23.2-27.6],29.1  [23.2-34.9],27.4  [21.8-33.0],25.4  [21.6-29.2],27.8  [24.5-31.2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,25-44,,,,,,,Table_2,17.1  [15.1-19.1],Footnote #,Footnote #,Footnote #,Footnote #,21.4  [16.7-26.1],14.7  [11.4-18.0],Footnote #,Footnote #,17.8Footnote *  [11.9-23.7],14.1Footnote *  [8.8-19.4],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,45+,,,,,,,Table_2,35.1  [33.4-36.7],37.4  [29.7-45.2],38.9  [29.7-48.2],35.5Footnote ↑  [28.2-42.9],39.7  [30.7-48.6],40.4  [36.8-43.9],31.9  [28.9-35.0],33.3  [26.0-40.7],38.5Footnote ↓  [30.3-46.7],31.5Footnote ↑  [26.6-36.4],35.8  [31.4-40.2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Never smokers,,,,,,,Table_2,Never smokers,Never smokers,Never smokers,Never smokers,Never smokers,Never smokers,Never smokers,Never smokers,Never smokers,Never smokers,Never smokers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,,,,,,Table_2,63.7  [62.4-65.0],56.5Footnote ↓  [50.1-62.8],56.4  [49.4-63.4],58.6  [52.7-64.6],52.4  [45.9-58.9],58.1  [55.3-60.8],66.8  [64.6-68.9],60.0  [54.3-65.7],60.5Footnote ↑  [54.9-66.2],68.0  [64.3-71.8],65.6  [62.3-69.0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15-19,,,,,,,Table_2,93.4  [91.9-95.0],92.2  [83.8-100.5],Footnote #,88.3  [80.0-96.6],84.4  [74.6-94.2],90.5Footnote ↓  [86.5-94.5],95.5Footnote ↓  [93.3-97.7],90.7  [82.0-99.5],82.3  [71.2-93.4],94.9  [90.6-99.1],94.9  [91.0-98.7],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20-24,,,,,,,Table_2,81.5Footnote ↓  [78.7-84.2],68.9  [55.0-82.9],83.8  [69.4-98.2],80.0  [69.3-90.7],83.2  [72.4-94.0],81.4  [74.4-88.4],82.9  [78.2-87.5],74.5Footnote ↓  [60.8-88.1],75.0  [63.6-86.5],83.9  [76.3-91.5],81.6  [73.5-89.7],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,25+,,,,,,,Table_2,59.3  [57.8-60.7],53.1  [45.9-60.3],51.2  [43.2-59.2],54.3  [47.5-61.1],47.1  [39.7-54.4],53.6  [50.4-56.7],62.2  [59.7-64.7],55.5Footnote ↓  [48.8-62.1],57.3  [50.8-63.7],64.1  [59.8-68.4],61.5Footnote ↑  [57.7-65.4],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,25-44,,,,,,,Table_2,69.7  [67.0-72.3],67.4  [52.5-82.3],63.2  [47.5-78.9],66.4  [53.3-79.5],50.8  [36.8-64.9],64.6  [59.0-70.2],71.6  [67.0-76.2],62.1  [50.0-74.3],65.3  [54.6-76.1],71.8  [65.0-78.6],76.7  [69.9-83.6],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,45+,,,,,,,Table_2,52.9 [51.1-54.6],46.8  [38.8-54.9],45.5Footnote ↓ [36.4-54.5],48.5Footnote ↓  [40.4-56.5],45.4  [36.7-54.0],47.3  [43.6-51.0],56.4  [53.3-59.5],51.0 [43.5-58.6],51.6  [43.5-59.7],57.9  [52.6-63.2],52.8  [48.2-57.4],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
